type,year,term,subject,monndai,img,coices,correct,kaisetu
normal,2025,後期,無線工学,"次の記述は、図に示す抵抗R、容量リアクタンスXC及び誘導リアクタンスXLの並列回路について述べたものである。（　　）内に入れべき字句の正しい組合せを下の番号から選べ。ただし、回路は共振状態にあるものとする。 

(1) 容量リアクタンスXCの大きさは、（  A  ）である。 
(2) 容量リアクタンスXCに流れる電流の大きさICは、 （  B   ）である。 
(3) 交流電源から流れる電流の大きさIOは、（　C   ）である。",img/202508_Kougaku_A_(1).png,"1 , A：2 〔kΩ〕 B：50 〔mA〕 C：10 〔mA〕｜ 2 , A：2 〔kΩ〕 B：50 〔mA〕 C：5 〔mA〕 ｜3  ,A：2 〔kΩ〕 B：20 〔mA〕 C：5 〔mA〕｜ 4  ,A：5 〔kΩ〕 B：20 〔mA〕 C：5 〔mA〕 ｜5 , A：5 〔kΩ〕 B：50 〔mA〕 C：10 〔mA〕",4,
normal,2025,後期,無線工学,図に示す交流回路において、負荷の有効電力（消費電力） P が 300〔W〕、負荷の力率 cos θ が 0.6 であるとき、電源から流れる電流 I の値として、正しいものを下の番号から選べ。ただし、電源の電圧 V の値を100〔V〕とする。,img/202508_Kougaku_A_(2).png,"1 ,5.0 〔A〕｜ 2 ,4.5 〔A〕｜ 3. 4.0 〔A〕｜ 4 ,3.5 〔A〕｜ 5 ,2.5 〔A〕",1,
normal,2025,後期,無線工学,次の記述は、図に示すトランジスタ(Tr)のベース接地電流増幅率 α とエミッタ接地電流増幅率 β について述べたものである。このうち誤っているものを下の番号から選べ。 ,img/202508_Kougaku_A_(3).png,"1 ,α は、α < 1である。｜2, α は、α = IC /IEである。｜3 ,IC は、IC = IE - IB である。｜ 4 ,β は、β = IC /IBである｜5 ,β を α で表すと、β = α / (1+α)である",5,
normal,2025,後期,無線工学," 次の記述は、図に示す理想的な演算増幅器(A OP)について述べたものである。 (       )内に入れるべき字句の正しい組合せを下の番号から選べ。 
 
(1) 入力インピーダンスは、（ A ）である。 
(2) 出力インピーダンスは、（ B ）である。 
(3) 増幅度は、( C )である。 ",img/202508_Kougaku_A_(4).png,1 　　A：無限大(∞) 　B：無限大(∞)　 C：零(0) ｜2 　　A：無限大(∞) 　B：無限大(∞) 　C：無限大(∞) ｜3　　 A：無限大(∞) 　B：零(0) 　C：無限大(∞)｜ 4 　　A：零(0) 　B：零(0) 　C：無限大(∞) ｜5 　　A：零(0) 　B：無限大(∞) 　C：零(0),3,
normal,2025,後期,無線工学,"次の記述は、図に示すDSB（A3E）送信機の構成例について述べたものである。（　）  内に入れるべき字句の正しい組合せを下の番号から選べ。なお、同じ記号の（ 　　） 内には、同じ字句が入るものとする。
 
(1)（　 A　 ）増幅器は、これ以降に設けられた増幅器等の発振器への影響を軽減する役割があり、一般にひずみの少ない （　 B　 ）増幅回路が用いられる。 
(2) 励振増幅器は、終段の電力増幅器を励振するのに十分な出力を得るための増幅器である。 
(3)（　 C　 ）増幅器は、電力増幅器で必要な変調度が得られるように音声信号（低周波）を増幅する。",img/202508_Kougaku_A_(5).png,1  A：中間周波 　B：A級 　C：変調｜ 2  A：中間周波 　B：C級 　C：高周波 ｜3  A：緩衝 　B：A級 　C：変調｜ 4  A：緩衝 　B：A級 　C：高周波｜ 5  A：緩衝 　B：C級 　C：変調,3,
normal,2025,後期,無線工学,周波数 fC〔Hz〕の搬送波を最高周波数が fS〔Hz〕の信号で周波数変調したときの占有周波数帯幅 B〔Hz〕を表す近似式として、適切なものを下の番号から選べ。ただし、最大周波数偏移をΔ f 〔Hz〕とし、変調指数 mf は、1 < mf < 10 とする。,,"1, B ≒ Δ f － fS 〔Hz〕｜ 2 ,B ≒ Δ f ＋ fS 〔Hz〕｜ 3, B ≒ 2( Δ f － fS ) 〔Hz〕 ｜4 ,B ≒ 2( Δ f ＋ fS ) 〔Hz〕｜ 5, B ≒ 2( Δ f ＋ fC ) 〔Hz〕",4,
normal,2025,後期,無線工学,次の記述は、スーパヘテロダイン受信機に高周波増幅器を設ける目的について述べたものである。このうち誤っているものを下の番号から選べ。 ,,1 影像周波数による混信妨害を軽減する。｜ 2 近接周波数による混信妨害を軽減する。｜ 3 信号対雑音比(S/N)を良くする。｜ 4 局部発振器から発生する高周波がアンテナから放射されるのを防ぐ。｜ 5 感度を良くする。,2,
normal,2025,後期,無線工学,"次の記述は、DSB(A3E)通信方式と比べたときのSSB(J3E)通信方式の一般的な特徴について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番号から選べ。ただし、同じ条件のもとで通信を行うものとする。
 
　　(1) 送信電力が、 （　 A　 ）。 
　　(2) 占有周波数帯幅は約 （ 　B　 ）である。 
　　(3) 選択性フェージングの影響が （ 　C 　）。",,1  A：小さくてすむ     B：1/2     C：小さい ｜2  A：小さくてすむ     B：1/4     C：大きい ｜3  A：小さくてすむ     B：1/2     C：大きい ｜4  A：大きくなる       B：1/4     C：大きい ｜5  A：大きくなる       B：1/2     C：小さい,1,
normal,2025,後期,無線工学,次の記述は、デジタル変調について述べたものである。このうち誤っているものを下の番号から選べ。,,1  ASKは、入力信号によって、搬送波の振幅を変化させる方式をいう。｜ 2  FSKは、入力信号によって、搬送波の周波数を変化させる方式をいう。｜ 3  PSKは、入力信号によって、搬送波の位相を変化させる方式をいう。 ｜4  BPSKは、PSKのうち、搬送波の位相を2種類変化させる方式をいう。 ｜5  QAMは、入力信号によって、搬送波の振幅と周波数を変化させる方式をいう。｜,5,
normal,2025,後期,無線工学,"次の記述は、送信アンテナと給電線の接続について述べたものである。（　　） 内に入れるべき字句の正しい組合せを下の番号から選 べ。
 
(1) アンテナの入力インピーダンスと給電線の（　 A　 ）を整合させて接続する。 
(2) インピーダンス整合がとれていないとき、給電線に定在波が（ 　B　 ）。 
(3) ダイポールアンテナのような平衡形アンテナと不平衡形の同軸給電線を接続するために、平衡－不平衡の変換器である（　 C　 ）が用 いられる。",,1  　A：特性インピーダンス     B：生じる 　C：バラン ｜2  　A：特性インピーダンス      B：生じる 　C：サーキュレータ ｜3  　A：特性インピーダンス      B：生じない     C：バラン ｜4 　 A： 損失抵抗 B：生じる 　C：バラン  ｜5  　A：損失抵抗 B：生じない     C：サーキュレータ ,1,
